66,1079,1079
67,1082,1082
68,1088,1088
69,1096,1094
70,1103,1093
71,1097,1092
72,1105,1098
73,1100,1101
74,1094,1096
75,1093,1093
76,1100,1098
77,1100,1104
78,1095,1105
79,1089,1101
80,1090,1101
81,1095,1101
82,1103,1102
83,1107,1099
84,1107,1104
85,1110,1105
86,1104,1107
87,1101,1102
88,1109,1099
89,1112,1097
90,1120,1096
91,1123,1091
92,1117,1096
93,1121,1097
94,1117,1099
95,1119,1102
96,1122,1104
97,1122,1107
98,1123,1110
99,1131,1115
100,1134,1113
101,1137,1115
102,1131,1118
103,1133,1120
104,1134,1123
105,1142,1120
106,1150,1121
107,1148,1120
108,1148,1126
109,1156,1125
110,1161,1130
111,1167,1129
112,1165,1130
113,1169,1136
114,1173,1140
115,1180,1139
116,1175,1143
117,1171,1145
118,1168,1148
119,1167,1146
120,1161,1147
121,1163,1152
122,1169,1156
123,1170,1153
124,1177,1157
125,1185,1157
126,1193,1154
127,1189,1153
128,1193,1158
129,1201,1160
130,1197,1163
131,1195,1165
132,1190,1164
133,1197,1170
134,1195,1169
135,1197,1167
136,1199,1172
137,1195,1167
138,1201,1168
139,1197,1169
140,1194,1164
141,1197,1169
142,1202,1166
143,1204,1161
144,1199,1156
145,1205,1154
146,1202,1160
147,1210,1157
148,1217,1158
149,1217,1158
150,1214,1159
151,1209,1156
152,1207,1159
153,1214,1159
154,1220,1155
155,1224,1161
156,1227,1167
157,1230,1169
158,1230,1174
159,1237,1177
160,1245,1172
161,1245,1178
162,1239,1182
163,1234,1179
164,1237,1177
165,1242,1178
166,1243,1183
167,1245,1178
168,1249,1173
169,1251,1169
170,1256,1167
171,1250,1173
172,1255,1172
173,1260,1175
174,1262,1179
175,1262,1183
176,1264,1178
177,1264,1182
178,1258,1183
179,1263,1180
180,1257,1182
181,1251,1182
182,1253,1186
183,1250,1186
184,1258,1186
185,1264,1184
186,1271,1185
187,1268,1184
188,1262,1179
189,1260,1185
190,1262,1182
191,1256,1188
192,1258,1192
193,1264,1192
194,1272,1196
195,1273,1199
196,1271,1201
197,1265,1203
198,1259,1207
199,1259,1204
200,1266,1200
201,1274,1201
202,1273,1206
203,1275,1211
204,1269,1210
205,1265,1209
206,1273,1209
207,1277,1208
208,1281,1210
209,1279,1208
210,1282,1204
211,1290,1209
212,1285,1213
213,1285,1214
214,1282,1218
215,1287,1218
216,1281,1220
217,1278,1225
218,1281,1227
219,1282,1224
220,1280,1227
221,1274,1232
222,1271,1235
223,1279,1237
224,1281,1243
225,1289,1244
226,1284,1245
227,1284,1242
228,1287,1245
229,1290,1247
230,1289,1253
231,1286,1248
232,1292,1243
233,1298,1240
234,1297,1239
235,1299,1242
236,1293,1238
237,1299,1239
238,1293,1241
239,1294,1244
240,1299,1250
241,1293,1252
242,1288,1256
243,1287,1255
244,1292,1250
245,1296,1248
246,1299,1245
247,1305,1248
248,1312,1253
249,1320,1249
250,1328,1245
251,1336,1248
252,1343,1246
253,1341,1246
254,1346,1243
255,1353,1247
256,1357,1246
257,1358,1245
258,1358,1248
259,1358,1251
260,1363,1256
261,1362,1262
262,1370,1260
263,1370,1257
264,1371,1257
265,1375,1255
266,1376,1252
267,1377,1252
268,1384,1247
269,1382,1245
270,1387,1245
271,1391,1248
272,1390,1245
273,1391,1242
274,1392,1238
275,1398,1242
276,1402,1240
277,1396,1244
